index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
42;1698.835;2189;1290;1270;1128;2;379.2500048969307;400.0904
43;1653.848;2417;1320;1296;1117;7;390.60648667335;412.35743
44;1543.312;2311;1347;1327;1111;5;358.7107033135802;378.64675
45;5.798;0;3;1;1;0;14.42220510185596;15.313709
46;117.28;182;156;151;106;0;73.56466363988537;79.497475
47;2412.734;3168;1905;1880;1695;3;233.7480361024889;248.5513
48;738.534;656;520;507;383;0;172.3204151331838;187.16652
49;1925.069;2815;1651;1620;1456;14;325.0694213563809;343.30361
50;194.309;306;244;239;141;0;196.6937203826387;207.89444
51;1035.905;1276;716;699;556;0;246.5002973777162;258.91883
52;4158.864;5792;2994;2942;2792;1;470.5064791591305;496.09755
53;1009.69;329;305;301;204;0;300.5259901897485;313.00209
54;3815.673;4603;2456;2407;2289;1;377.9864616914875;401.07316
55;5001.636;6331;3285;3230;3078;5;450.0396989336173;475.44574
56;1808.16;2706;1587;1559;1401;14;427.1073089216028;455.97265
57;1055.603;1213;745;721;609;1;278.7451814506176;295.73506
58;732.612;1081;720;705;512;0;344.6277906064675;363.75945
59;3379.134;5889;3156;3101;2933;2;441.7610411917595;468.62951
60;1581.275;1225;799;782;644;0;265.1941803573736;282.56349
61;928.9;1354;900;882;703;0;285.4991582940098;300.74726
62;1101.44;1604;953;939;753;5;370.0577572652438;388.11479
63;316.824;356;248;235;175;0;216.4484426618585;228.50967
64;811.172;886;549;539;397;0;249.3101843639074;262.01934
65;940.943;762;535;523;414;2;194.9982447900245;208.89444
