index;micro;successor_calls;generated;pushed;popped;pruned_post_pop;length;gridcost
80;54766.292;70558;27665;26744;21637;783;487.846518687273;525.73506
81;41956.537;53488;22331;21580;16989;556;457.2117182887845;487.26703
82;12321.238;16195;7166;6908;5311;152;231.7930508739849;252.99495
83;23654.329;29986;13186;12717;9744;362;313.7114160502637;346.60512
84;36177.361;46282;19232;18546;14864;523;431.7730304880856;471.27922
85;141641.8;172289;67304;65140;54343;2100;644.0365723794151;713.89149
86;49.814;4;9;7;4;0;2;2
87;9901.577;12852;5953;5736;4246;129;239.4841043391631;259.95332
88;15234.673;19503;8913;8591;6560;265;214.0706331811712;240.17872
89;3938.346;5142;2633;2522;1843;53;155.4481009042272;176.50967
90;21592.97;27062;12110;11692;9101;312;334.6086570453046;370.64675
91;118838.72;138866;55272;53481;44571;1912;605.5246399002824;676.15137
92;61228.561;76272;32159;31064;24870;900;445.9340733156574;497.49957
93;88765.255;109780;44842;43333;35564;1387;467.0103368146616;522.6417
94;63986.96;80186;32817;31684;25537;1004;509.2236418026094;564.51176
95;13080.686;17200;7488;7204;5351;171;260.669193826442;277.91169
96;29230.484;37821;16055;15502;12079;441;365.550105306824;402.22035
97;30248.817;38237;16872;16241;12871;520;343.7968489640448;383.88939
98;31871.274;41260;17256;16625;13025;469;352.2245965656036;380.27922
99;89814.628;109052;45976;44375;35602;1320;523.395766942299;586.23968
100;4469.247;5906;2823;2722;2004;55;165.4033940435084;180.39697
101;31762.473;39183;17455;16804;12939;431;395.9475635470361;440.529
102;38465.325;47654;20655;19929;15756;619;368.5239413391081;410.17366
