exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
27;AnyaSearch;1284;1283;558;614;1171;(988,2);(160,1014);1373.12820891;1317.8458622781247;Milan_1_1024.map
28;AnyaSearch;2197;2195;1311;1478;2714;(525,582);(1009,242);697.49451599;644.4515696277731;Milan_1_1024.map
29;AnyaSearch;1924;128;66;84;149;(656,710);(113,955);644.48232269;604.3066661815753;Milan_1_1024.map
30;AnyaSearch;4671;4669;2287;2571;4742;(2,781);(972,165);1272.65302886;1199.9609222954418;Milan_1_1024.map
31;AnyaSearch;2916;406;317;348;664;(827,129);(177,772);967.30274047;923.3722847190728;Milan_1_1024.map
32;AnyaSearch;3003;189;83;147;229;(1012,932);(134,314);1149.2144287;1081.0839419106828;Milan_1_1024.map
33;AnyaSearch;3709;29;7;11;17;(536,676);(523,647);34.38477631;31.78049716414141;Milan_1_1024.map
34;AnyaSearch;4076;359;190;240;428;(15,1004);(994,15);1419.11810759;1393.5466507885742;Milan_1_1024.map
35;AnyaSearch;1831;255;252;271;522;(32,29);(842,1014);1458.86623229;1368.6671867975297;Milan_1_1024.map
36;AnyaSearch;3210;452;351;397;747;(109,70);(990,830);1267.43477477;1217.4148535328861;Milan_1_1024.map
37;AnyaSearch;2795;89;58;72;129;(47,651);(931,817);952.75945129;901.399508387362;Milan_1_1024.map
38;AnyaSearch;2522;348;148;191;326;(474,919);(397,331);630.43860016;608.4848812626615;Milan_1_1024.map
39;AnyaSearch;1696;1694;1478;1642;3052;(444,666);(970,207);791.27121124;758.8241634788902;Milan_1_1024.map
40;AnyaSearch;2879;23;4;9;12;(288,608);(297,614);11.48528137;10.816653826391969;Milan_1_1024.map
41;AnyaSearch;3111;48;54;66;119;(1013,796);(467,715);580.37972565;553.455134572884;Milan_1_1024.map
42;AnyaSearch;2427;76;73;94;166;(799,597);(520,976);494.5655838;478.85923808758173;Milan_1_1024.map
43;AnyaSearch;2446;804;750;793;1542;(965,56);(2,710);1250.82460174;1193.0103576999777;Milan_1_1024.map
