exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
0;AStar;37653;37627;24696;184395;63493;(103,292);(271,178);425.97265472;421.73000979423523;AR0500SR.map;
1;AStar;11259;4395;6447;49891;19457;(239,37);(133,203);220.00714264;219.42135381698608;AR0500SR.map;
2;AStar;6112;6110;10338;77593;30979;(285,144);(29,219);506.58787842;501.7594473361969;AR0500SR.map;
3;AStar;6914;6912;11097;83275;33436;(241,150);(7,220);441.40411224;437.9898953437805;AR0500SR.map;
4;AStar;5013;5011;7750;57710;21786;(254,168);(90,229);399.27416992;395.8599525690079;AR0500SR.map;
5;AStar;16399;16395;23991;178037;61652;(105,210);(253,166);381.54624786;378.1320307254791;AR0500SR.map;
6;AStar;15208;15206;20392;151097;52590;(172,228);(264,167);357.67619018;352.26197350025177;AR0500SR.map;
7;AStar;22110;22107;26066;194302;72726;(6,247);(260,171);484.31580047;480.0731556415558;AR0500SR.map;
8;AStar;1589;1586;1741;13378;5437;(13,258);(185,167);216.37972565;214.37972366809845;AR0500SR.map;
9;AStar;2333;769;833;6460;2952;(247,37);(109,246);266.16147156;266.1614682674408;AR0500SR.map;
10;AStar;7672;7668;7629;57845;21077;(165,72);(134,167);200.7106781;199.29646337032318;AR0500SR.map;
11;AStar;2108;33;69;545;280;(277,34);(209,33);68.41421356;68.41421353816986;AR0500SR.map;
12;AStar;1550;1548;2081;15501;6015;(232,133);(90,253);228.24978332;226.2497808933258;AR0500SR.map;
13;AStar;15011;15006;18829;139630;48525;(168,227);(305,190);372.23253937;366.81832242012024;AR0500SR.map;
14;AStar;2658;841;2002;15080;6095;(180,233);(8,254);202.58073578;199.75230705738068;AR0500SR.map;
15;AStar;7599;7597;12022;90004;33882;(229,157);(81,192);387.27416992;384.6883796453476;AR0500SR.map;
16;AStar;15465;15462;25096;187402;69614;(21,240);(291,189);472.1442276;466.73000979423523;AR0500SR.map;
17;AStar;2318;2316;5145;37386;13991;(289,149);(63,299);507.02647857;503.0264731645584;AR0500SR.map;
18;AStar;9820;9818;15500;114382;39042;(185,189);(297,192);313.63455963;308.8061298131943;AR0500SR.map;
19;AStar;6433;6430;9693;73770;26399;(210,33);(86,190);276.46298675;276.4629839658737;AR0500SR.map;
20;AStar;2420;4;20;153;88;(44,314);(25,311);20.24264069;20.242640614509583;AR0500SR.map;
21;AStar;9575;9573;14186;107333;41111;(14,263);(300,64);411.03152923;406.20309841632843;AR0500SR.map;
22;AStar;1658;1656;3635;26002;10626;(304,186);(154,106);268.20815277;265.37972366809845;AR0500SR.map;
23;AStar;2961;2959;4184;31396;11851;(100,213);(143,126);149.58073578;149.5807341337204;AR0500SR.map;
24;AStar;7547;7545;12133;91437;34968;(11,304);(295,82);407.5290039;405.5289993286133;AR0500SR.map;
25;AStar;1943;1942;3665;28175;12036;(178,179);(208,27);172.7106781;172.71067690849304;AR0500SR.map;
