exp;alg;time;runt_micro;expanded;generated;heapops;start;target;gridcost;length;map;
131;AStar;231993;231991;137109;1089716;483260;(126,881);(76,233);792.20519409;791.6193999052048;Milan_1_1024.map;
132;AStar;88346;88344;61097;480560;181326;(671,93);(14,873);1190.63369293;1188.6336804628372;Milan_1_1024.map;
133;AStar;1327;1326;1028;8029;3738;(294,232);(411,609);436.59292908;436.0071402788162;Milan_1_1024.map;
134;AStar;152616;152616;100845;801577;307150;(907,14);(137,982);1305.10382232;1303.9322317838669;Milan_1_1024.map;
135;AStar;3087;390;537;4170;2540;(325,220);(550,754);627.19805145;627.1980460882187;Milan_1_1024.map;
136;AStar;4709;4708;3729;29700;12917;(666,728);(658,448);287.45584412;286.6274166107178;Milan_1_1024.map;
137;AStar;67440;67439;41056;325967;124211;(950,23);(277,756);1028.75353393;1028.7535185813904;Milan_1_1024.map;
138;AStar;261190;261189;149427;1187503;452743;(338,939);(900,180);1032.7930725;1031.6214878559113;Milan_1_1024.map;
139;AStar;155848;155847;118964;946395;360815;(868,36);(181,1017);1273.76572723;1273.7657111883163;Milan_1_1024.map;
140;AStar;61670;61668;43991;346299;126320;(345,73);(807,962);1223.28549651;1220.6996958255768;Milan_1_1024.map;
141;AStar;2143;128;189;1505;796;(432,773);(620,754);195.87005768;195.87005722522736;Milan_1_1024.map;
142;AStar;196461;196460;134082;1063283;399744;(114,117);(1015,981);1326.24595794;1322.731221318245;Milan_1_1024.map;
143;AStar;153529;153527;88226;701823;265807;(4,1016);(919,25);1394.60843963;1393.4368458986282;Milan_1_1024.map;
144;AStar;2547;160;216;1721;1178;(261,845);(105,630);279.61731567;279.6173119544983;Milan_1_1024.map;
145;AStar;3400;3400;3523;27525;11291;(998,517);(577,738);531.28636322;531.2863587141037;Milan_1_1024.map;
146;AStar;1929;592;667;5067;2366;(822,305);(717,444);187.76450195;186.59292674064636;Milan_1_1024.map;
147;AStar;143986;143985;95383;753920;289609;(124,583);(863,74);989.60930633;987.6092952489853;Milan_1_1024.map;
148;AStar;2911;45;71;508;265;(147,375);(174,398);40.04163055;39.455843687057495;Milan_1_1024.map;
149;AStar;26838;26838;26150;208256;79537;(62,363);(328,784);535.28131256;534.1097334623337;Milan_1_1024.map;
150;AStar;5406;5405;5055;39290;16702;(259,177);(968,781);984.95959472;983.2022219896317;Milan_1_1024.map;
151;AStar;20769;20768;14718;115434;46406;(851,222);(15,898);1157.70685271;1155.706836104393;Milan_1_1024.map;
152;AStar;1857;522;627;4637;2731;(260,85);(491,633);643.68333282;643.6833273172379;Milan_1_1024.map;
153;AStar;93877;93877;62792;491556;185475;(407,37);(627,439);683.03362121;680.4478269815445;Milan_1_1024.map;
154;AStar;954114;466738;261001;2057726;762375;(974,745);(426,72);1220.82041778;1218.2346239089966;Milan_1_1024.map;
155;AStar;3306;201;260;2073;1424;(605,519);(414,778);338.11479034;338.1147857904434;Milan_1_1024.map;
156;AStar;2050;64;101;801;546;(863,723);(963,793);128.99494934;128.99494767189026;Milan_1_1024.map;
