exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map;
144;AStar;20520;7970;11533;69430;27584;(183,349);(304,260);495.13708496;428.19090580940247;maze512-2-5.map;
145;AStar;132568;132566;174147;1043986;414566;(37,274);(481,224);3115.81031646;2688.1504871845245;maze512-2-5.map;
146;AStar;85820;85817;116632;700142;275199;(246,110);(370,331);1754.79603119;1516.4011445045471;maze512-2-5.map;
147;AStar;46851;46848;72027;432352;169581;(281,227);(179,449);2244.2884552;1947.0895241498947;maze512-2-5.map;
148;AStar;152297;152294;203501;1220738;479998;(31,41);(224,204);4136.32712707;3578.390163421631;maze512-2-5.map;
149;AStar;165820;165816;231564;1388782;546911;(36,7);(272,239);4597.32207641;3977.3678661584854;maze512-2-5.map;
150;AStar;139348;139346;184517;1106155;436924;(68,341);(195,31);2633.95750274;2298.457055211067;maze512-2-5.map;
151;AStar;181946;181918;254344;1524719;604871;(136,265);(484,103);4314.32712707;3769.9465123414993;maze512-2-5.map;
152;AStar;5385;5382;8583;51503;20583;(400,461);(314,352);529.55129852;457.534051656723;maze512-2-5.map;
153;AStar;130757;130756;169049;1013437;398883;(132,410);(137,183);2176.06305847;1885.4082847833633;maze512-2-5.map;
154;AStar;182733;182730;257899;1546151;613617;(347,511);(497,47);4476.81240844;3897.8460071086884;maze512-2-5.map;
155;AStar;204148;100743;142819;857171;337760;(46,139);(354,308);3541.52099456;3062.731221318245;maze512-2-5.map;
156;AStar;97407;97405;139628;838153;329453;(263,71);(160,2);2516.53109588;2167.0895241498947;maze512-2-5.map;
157;AStar;53870;53868;81305;487923;192433;(493,241);(106,368);2097.71991272;1802.337217092514;maze512-2-5.map;
158;AStar;160746;160744;225812;1354199;533100;(80,23);(258,229);4167.8418457;3607.662241578102;maze512-2-5.map;
159;AStar;38802;38798;72078;432473;170803;(487,120);(262,315);3242.73924865;2830.9789142608643;maze512-2-5.map;
160;AStar;171808;171806;232567;1394330;550295;(34,283);(145,15);3595.17784881;3112.3880754709244;maze512-2-5.map;
161;AStar;2677;2674;4508;27147;10833;(319,342);(228,362);236.98275604;206.09545290470123;maze512-2-5.map;
162;AStar;67984;67983;115163;691166;273130;(483,40);(413,353);4101.34437103;3576.4368458986282;maze512-2-5.map;
163;AStar;3168;3167;7088;42602;16780;(145,237);(233,239);455.96551208;395.8477599620819;maze512-2-5.map;
164;AStar;40202;40202;61353;368352;144298;(162,215);(155,86);1552.09754638;1346.2884466648102;maze512-2-5.map;
165;AStar;159627;159626;241776;1449720;569730;(435,16);(65,379);4192.94235076;3635.691679120064;maze512-2-5.map;
166;AStar;148834;148832;213118;1278215;507147;(9,215);(440,205);4551.51089324;3924.686626791954;maze512-2-5.map;
167;AStar;235410;116205;149527;896729;352897;(329,478);(142,231);1905.49451599;1654.5554724931717;maze512-2-5.map;
168;AStar;50987;50985;70381;422192;165594;(168,434);(362,377);1506.61226501;1288.7615352869034;maze512-2-5.map;
169;AStar;3786;3784;7528;45044;17728;(492,250);(446,208);599.37972565;517.8477599620819;maze512-2-5.map;
170;AStar;100975;100973;143249;859434;339419;(490,155);(26,286);2883.55548248;2485.8540238142014;maze512-2-5.map;
171;AStar;17297;17294;26403;158511;62482;(324,425);(443,497);654.52186127;562.7472547292709;maze512-2-5.map;
172;AStar;156464;156462;228318;1369019;542727;(453,1);(461,164);4215.97178802;3647.3069031238556;maze512-2-5.map;
173;AStar;124495;124493;190381;1142021;448660;(502,102);(71,469);4681.13831023;4081.6277517080307;maze512-2-5.map;
174;AStar;3358;3356;8069;48333;19063;(484,214);(510,284);667.86500702;572.3330411911011;maze512-2-5.map;
175;AStar;173042;173040;225670;1352866;533588;(247,351);(2,61);2949.21233673;2544.682450890541;maze512-2-5.map;
176;AStar;22365;22363;32652;195883;77647;(54,419);(325,472);1106.71782074;967.1269783973694;maze512-2-5.map;
177;AStar;147990;147988;218797;1312463;515721;(71,200);(29,318);4617.38095092;3989.385111093521;maze512-2-5.map;
178;AStar;39557;39555;67521;405202;160088;(308,46);(377,25);1985.67828216;1724.3960921764374;maze512-2-5.map;
179;AStar;2450;739;1794;10807;4405;(161,344);(79,350);189.11269836;174.08326029777527;maze512-2-5.map;
180;AStar;2912;2911;4992;30022;11840;(328,178);(229,136);307.56854248;274.09545290470123;maze512-2-5.map;
181;AStar;52761;52760;75606;453561;180352;(12,365);(432,229);2152.00418396;1846.4204773902893;maze512-2-5.map;
182;AStar;5207;5205;8433;50750;20230;(331,201);(292,106);372.12489166;326.5512965917587;maze512-2-5.map;
183;AStar;79934;79932;106467;638336;252397;(499,502);(113,220);1948.70771942;1690.6976078748703;maze512-2-5.map;
184;AStar;164001;78193;118501;711133;278833;(367,94);(181,391);2383.04581451;2070.3321647644043;maze512-2-5.map;
185;AStar;132873;132872;172447;1033837;407555;(224,508);(86,154);2488.48946533;2157.047894001007;maze512-2-5.map;
186;AStar;147629;147627;194987;1168760;460553;(409,495);(163,122);2864.04076385;2479.7535185813904;maze512-2-5.map;
187;AStar;23562;23561;33911;203584;79998;(121,371);(199,480);971.91883087;842.4284940958023;maze512-2-5.map;
188;AStar;17885;17884;32153;193048;76172;(190,238);(251,286);1623.867099;1413.3717069625854;maze512-2-5.map;
189;AStar;81141;81139;121992;732345;288456;(187,1);(358,353);3538.63369293;3065.1576274633408;maze512-2-5.map;
190;AStar;103197;103196;142569;855694;337289;(111,148);(425,478);2741.64379425;2366.0012115240097;maze512-2-5.map;
191;AStar;159580;159579;215150;1289705;508703;(503,364);(106,69);3769.77582855;3255.027684688568;maze512-2-5.map;
192;AStar;146297;146294;207995;1247547;494993;(20,13);(440,211);4542.75353393;3907.9292674064636;maze512-2-5.map;
193;AStar;34965;34963;51722;310488;121574;(298,181);(149,131);1196.10259704;1034.3107439279556;maze512-2-5.map;
194;AStar;39371;39369;57079;342716;134821;(325,251);(166,83);1129.65894623;983.180801153183;maze512-2-5.map;
195;AStar;49212;49210;67795;406492;158742;(409,434);(245,479);1165.51681061;1005.2396762371063;maze512-2-5.map;
196;AStar;3688;3687;6941;41702;16442;(431,317);(370,287);524.7228714;452.11983811855316;maze512-2-5.map;
197;AStar;163699;163698;225693;1353008;532361;(23,308);(55,104);4063.37380828;3519.838866829872;maze512-2-5.map;
198;AStar;273123;133743;183259;1098527;431820;(144,377);(101,214);2547.60216369;2205.7169407606125;maze512-2-5.map;
199;AStar;121890;121887;172364;1034236;406001;(62,4);(188,417);4130.80021514;3552.7211166620255;maze512-2-5.map;
