exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
57;AnyaSearch;4087;32;106;153;258;(39,988);(450,885);453.66399689;423.70980635335786;Milan_1_1024.map
58;AnyaSearch;2405;2405;6708;6959;13555;(78,104);(47,36);726.31074981;674.4684745125107;Milan_1_1024.map
59;AnyaSearch;4063;62;300;351;650;(76,415);(770,699);811.63665161;749.9922577923203;Milan_1_1024.map
60;AnyaSearch;2381;18;23;47;69;(985,852);(943,832);50.28427124;46.51881339845203;Milan_1_1024.map
61;AnyaSearch;2898;2898;6639;7392;13893;(693,730);(490,234);645.53109588;613.2114790784816;Milan_1_1024.map
62;AnyaSearch;4645;46;167;252;418;(316,754);(836,667);556.62236633;531.8991636683271;Milan_1_1024.map
63;AnyaSearch;3926;3925;8849;9625;18240;(253,1020);(761,149);1113.30274047;1043.3593738636255;Milan_1_1024.map
64;AnyaSearch;17896;17895;33239;35527;67436;(998,883);(524,48);1131.40620422;1075.441994974447;Milan_1_1024.map
65;AnyaSearch;2166;721;2235;2573;4807;(959,12);(26,872);1331.40028686;1278.022126958765;Milan_1_1024.map
66;AnyaSearch;2242;70;349;401;749;(645,530);(113,876);675.31789245;634.6179953326252;Milan_1_1024.map
67;AnyaSearch;1490;1489;3934;4188;8103;(592,167);(89,874);1210.0945877;1125.873207474454;Milan_1_1024.map
68;AnyaSearch;2376;142;601;752;1352;(327,765);(357,505);273.59797974;266.5914718979026;Milan_1_1024.map
69;AnyaSearch;2786;2785;6703;7517;13951;(962,689);(41,114);1400.77792052;1321.825327551893;Milan_1_1024.map
70;AnyaSearch;2138;288;1092;1309;2394;(343,969);(611,298);782.00923462;725.981364649974;Milan_1_1024.map
71;AnyaSearch;3997;31;103;144;246;(655,638);(488,538);208.4213562;194.65096968677037;Milan_1_1024.map
72;AnyaSearch;24979;24977;43813;46983;88759;(421,828);(591,180);1039.52604522;967.6051750687404;Milan_1_1024.map
73;AnyaSearch;2169;697;2419;2625;5036;(240,215);(345,904);893.75440063;841.3745268775588;Milan_1_1024.map
74;AnyaSearch;2265;17;25;28;52;(621,739);(585,761);45.11269836;42.190046219457976;Milan_1_1024.map
75;AnyaSearch;6554;161;573;622;1194;(324,944);(110,374);658.64170227;608.8480927127882;Milan_1_1024.map
76;AnyaSearch;3498;110;339;383;721;(920,552);(12,391);988.87214966;932.8941831908562;Milan_1_1024.map
