exp;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
168;AnyaSearch;2600;67;49;99;147;(70,188);(24,234);65.05382385;65.05382386916237;AR0500SR.map
169;AnyaSearch;2040;35;12;24;35;(60,199);(111,208);54.72792206;51.78802950489621;AR0500SR.map
170;AnyaSearch;2390;73;155;193;347;(154,107);(290,82);152.15432892;141.97668287758097;AR0500SR.map
171;AnyaSearch;4370;726;1157;1289;2445;(80,213);(225,13);292.52186127;277.57317128222275;AR0500SR.map
172;AnyaSearch;2908;461;554;698;1251;(225,91);(67,293);275.06096649;263.6667745544113;AR0500SR.map
173;AnyaSearch;1583;1582;2611;2825;5390;(11,268);(278,31);412.25692596;390.06526505433015;AR0500SR.map
174;AnyaSearch;3556;78;177;214;390;(104,220);(25,288);114.19595947;107.74672618436483;AR0500SR.map
175;AnyaSearch;3993;3991;6066;6286;12221;(28,300);(247,140);441.74220733;420.0489568164394;AR0500SR.map
176;AnyaSearch;1209;1205;1620;1725;3344;(76,200);(282,98);291.4213562;275.14060798498167;AR0500SR.map
177;AnyaSearch;1689;1687;2471;2647;5115;(55,277);(298,49);377.21529541;359.4717629537514;AR0500SR.map
178;AnyaSearch;3677;246;401;538;938;(207,95);(65,295);258.8183258;250.0439946821865;AR0500SR.map
179;AnyaSearch;4954;4950;6249;6438;12541;(8,218);(259,170);474.78888855;449.6722290768867;AR0500SR.map
180;AnyaSearch;4072;4069;6370;6560;12793;(17,292);(307,182);512.68333282;484.24288410528777;AR0500SR.map
181;AnyaSearch;1132;1129;1922;2148;3990;(292,162);(70,275);467.64170227;445.7575526705924;AR0500SR.map
182;AnyaSearch;2628;2627;3822;4038;7756;(300,198);(216,207);413.71782074;390.36251028371936;AR0500SR.map
183;AnyaSearch;5970;245;182;223;404;(157,212);(97,192);73.0121933;69.65597245925116;AR0500SR.map
184;AnyaSearch;4400;92;46;91;136;(289,53);(274,25);35.04163055;33.91055250861392;AR0500SR.map
185;AnyaSearch;2844;2840;3122;3301;6380;(11,267);(290,64);409.54624786;386.70371861911207;AR0500SR.map
186;AnyaSearch;3158;1150;1862;1990;3849;(79,266);(282,84);309.96046142;297.0047724810036;AR0500SR.map
187;AnyaSearch;6978;662;993;1070;2043;(221,208);(82,260);237.39191894;221.38363949971625;AR0500SR.map
188;AnyaSearch;3566;64;12;17;28;(39,297);(22,288);20.72792206;19.235384061671343;AR0500SR.map
189;AnyaSearch;1953;173;56;140;195;(42,294);(105,241);84.95331879;82.3286098510111;AR0500SR.map
190;AnyaSearch;2645;360;340;459;798;(35,317);(179,158);218.64675293;215.15744762684434;AR0500SR.map
191;AnyaSearch;4858;85;34;66;99;(298,74);(298,58);16.0;16.0;AR0500SR.map
192;AnyaSearch;1913;563;705;779;1483;(127,156);(219,47);256.17871551;239.95391973302418;AR0500SR.map
193;AnyaSearch;3850;73;6;16;21;(237,36);(275,33);39.24264069;38.118237105091836;AR0500SR.map
194;AnyaSearch;1274;1272;1173;1273;2445;(121,216);(221,245);166.82337646;155.7292328169036;AR0500SR.map
195;AnyaSearch;3420;3417;3008;3226;6124;(282,140);(97,190);452.62950897;426.3993580689279;AR0500SR.map
196;AnyaSearch;6479;6474;6629;6871;13323;(9,251);(253,160);496.87214966;469.0525291702135;AR0500SR.map
197;AnyaSearch;1604;1588;2593;2844;5330;(255,138);(17,248);425.54624786;400.4027542762241;AR0500SR.map
198;AnyaSearch;2495;828;1159;1291;2422;(160,122);(7,276);268.94826813;256.87578586152017;AR0500SR.map
199;AnyaSearch;3148;423;696;776;1452;(217,140);(301,56);170.55129852;160.93710675948248;AR0500SR.map
